"uid","vid","setNum","DeviantName","Harmonic","Pitch","Tempo","reactionTime","hit","engagement_notifi","Q1","Q2","Q3","age","gender","audition","vision","MultitaskingAbility","MultitaskingExperience","MusicExperience","UsingNotifi","computerExperience","handness","Env.Q1","Env.Q2","Env.Q3","Env.Q4","Env.Q5","Env.Q6","Duration","ageGroup"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","SimpleHighSlow","Simple","High","Slow",807,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","900","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","ComplexHighSlow","Complex","High","Slow",784,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","1400","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","ComplexHighFast","Complex","High","Fast",840,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","875","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","ComplexLowSlow","Complex","Low","Slow",919,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","1400","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","ComplexLowFast","Complex","Low","Fast",960,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","875","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","SimpleLowSlow","Simple","Low","Slow",911,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","900","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","SimpleLowFast","Simple","Low","Fast",920,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","562","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","SimpleHighFast","Simple","High","Fast",775,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","562","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","SimpleHighSlow","Simple","High","Slow",751,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","900","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","ComplexHighFast","Complex","High","Fast",1015,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","875","adult"
"-LLS9zz1hwVcsAT6Wm_i","video1","Set1","ComplexHighSlow","Complex","High","Slow",903,1,16,"Right","Right","Right",32,"Male","Yes","Yes","Mid","Often","None","Often","High","right","monitorTable","externalSpeaker","mouse","Private","Noisy","LowNegative","1400","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleHighFast","Simple","High","Fast",1561,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","562","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexLowSlow","Complex","Low","Slow",1773,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","1400","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleLowSlow","Simple","Low","Slow",1564,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","900","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexLowFast","Complex","Low","Fast",1688,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","875","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleLowFast","Simple","Low","Fast",1731,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","562","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleHighSlow","Simple","High","Slow",1606,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","900","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexHighSlow","Complex","High","Slow",1565,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","1400","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexHighFast","Complex","High","Fast",1546,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","875","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexLowSlow","Complex","Low","Slow",1809,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","1400","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexLowFast","Complex","Low","Fast",1658,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","875","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleLowSlow","Simple","Low","Slow",1620,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","900","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleLowFast","Simple","Low","Fast",1681,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","562","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleHighFast","Simple","High","Fast",1688,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","562","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","SimpleHighSlow","Simple","High","Slow",1558,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","900","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexHighFast","Complex","High","Fast",1654,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","875","adult"
"-LLSA8Vv8JHZKMhyURnB","video1","Set1","ComplexHighSlow","Complex","High","Slow",1667,1,16,"Wrong","Right","Right",24,"Female","Yes","Yes","Mid","Often","None","Sometimes","Medium","right","laptopLap","computerSpeaker","mouse","Private","Noisy","LowPositive","1400","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleLowFast","Simple","Low","Fast",1165,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","562","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexLowSlow","Complex","Low","Slow",1255,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","1400","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexHighSlow","Complex","High","Slow",1274,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","1400","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleHighFast","Simple","High","Fast",1165,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","562","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleHighSlow","Simple","High","Slow",1053,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","900","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleLowSlow","Simple","Low","Slow",703,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","900","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexHighFast","Complex","High","Fast",1244,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","875","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexLowFast","Complex","Low","Fast",1154,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","875","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleLowFast","Simple","Low","Fast",1105,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","562","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexLowFast","Complex","Low","Fast",1164,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","875","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexLowSlow","Complex","Low","Slow",1204,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","1400","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleLowSlow","Simple","Low","Slow",1055,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","900","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexHighFast","Complex","High","Fast",1134,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","875","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","ComplexHighSlow","Complex","High","Slow",1183,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","1400","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleHighFast","Simple","High","Fast",1103,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","562","adult"
"-LLSAAbiP31PnNPllqge","video1","Set1","SimpleHighSlow","Simple","High","Slow",1124,1,16,"Right","Right","Right",46,"Male","Yes","Yes","Good","Often","None","Often","Medium","right","laptopTable","computerSpeaker","mouse","Private","Quiet","LowPositive","900","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","SimpleHighFast","Simple","High","Fast",1266,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","562","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","ComplexLowSlow","Complex","Low","Slow",1523,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","1400","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","SimpleLowSlow","Simple","Low","Slow",1264,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","900","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","ComplexLowFast","Complex","Low","Fast",1314,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","875","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","SimpleLowFast","Simple","Low","Fast",1178,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","562","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","SimpleHighSlow","Simple","High","Slow",1488,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","900","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","ComplexHighSlow","Complex","High","Slow",1581,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","1400","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","ComplexHighFast","Complex","High","Fast",1467,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","875","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","ComplexLowSlow","Complex","Low","Slow",1692,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","1400","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","ComplexLowFast","Complex","Low","Fast",1366,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","875","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","SimpleLowSlow","Simple","Low","Slow",1312,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","900","adult"
"-LLSAExTi_HnAwrcJMVQ","video1","Set1","SimpleLowFast","Simple","Low","Fast",1149,1,16,"Right","Right","Right",31,"Female","Yes","Yes","Mid","Often","Somewhat","Rarely","Medium","right","laptopLap","computerSpeaker","touchpad","Private","Quiet","LowPositive","562","adult"
